team_name,county,contact,contact_number,city,state
Alamosa Volunteer Search and Rescue,Alamosa,Sheriff's Office,719-589-6608,Alamosa,CO
Alpine Rescue Team,Clear Creek,Sheriff's Office,303-679-2376,Evergreen,CO
Alpine Rescue Team,Jefferson,Sheriff's Office,303-277-0211,Evergreen,CO
Alpine Rescue Team,Gilpin,Sheriff's Office,303-582-5500 or 303-582-5511,Evergreen,CO
Arapahoe Rescue Patrol,Arapahoe,Sheriff's Office,303-795-4711,Littleton,CO
Archuleta County Search & Rescue,Archuleta,Sheriff's Office,970-264-8430, Pagosa Springs,CO
Buena Vista Sheriff's Patrol,Chaffee,Sheriff's Office,719-539-2596,Buena Vista,CO
Chaffee County Sheriff's Patrol,Chaffee,Sheriff's Office,719-539-2596,Poncha Springs,CO
Colorado Ground SAR Team,Denver,Sheriff's Office,720-507-6905,Denver,CO
Conejos County SAR,Conejos,Sheriff's Office,719-376-2196,Antonio,CO
Crested Butte SAR,Gunnison,SAR,970-596-4704,Crested Butte,CO
Custer County Search and Rescue,Custer,Sheriff's Office,719-783-2270,Westcliff,CO
Dolores County SAR,Dolores,Sheriff's Office,970-677-2257,Dove Creek,CO
Delta County SAR,Delta,Sheriff's Office,970-874-2000,Delta,CO
Diamond Peaks Ski Patrol,Moffat ,Sheriff's Office,970-824-4495,Fort Collins,CO
Douglas County SAR,Douglas,Sheriff's Office,303-660-7500,Castle Rock,CO
El Paso County SAR,El Paso,SAR,719-635-9400,Colorado Springs,CO
Elbert County SAR,Elbert,Sheriff's Office,303-621-2027,Kiowa,CO
Fremont County SAR,Fremont,Sheriff's Office,719-276-5555,Canon City,CO
Front Range Rescue Dogs,Boulder,Sheriff's Office,303-441-4444,Boulder,CO
Garfield County Search and Rescue,Garfield,Sheriff's Office,970-945-0453,Glenwood Springs,CO
Gilpin County SAR,Gilpin,Sheriff's Office,303-582-1060,Rollingsville,CO
Grand County SAR,Grand,Sheriff's Office,970-725-3343,Winter Park,CO
Hinsdale County SAR,Hinsdale,Sheriff's Office,970-944-2291,Lake City,CO
Huerfano County SAR,Huerfano,Sheriff's Office,719-738-1600,Walsenburg,CO
Jackson County SAR,Jackson,Sheriff's Office,970-723-4242,Walden,CO
K-9 SEARCH AND RESCUE TEAM,Dolores,SAR,970-565-8441,Dolores,CO
Lake County SAR,Lake,Sheriff's Office,719-486-1249,Leadville,CO
La Plata Search and Rescue,La Plata,Sheriff's Office,970-247-1157,Durango,CO
Larimer County Dive Rescue Team,Larimer,Sheriff's Office,970-498-5100,Fort Collins,CO
Larimer County Search and Rescue,Larimer,Sheriff's Office,970-498-5100,Fort Collins,CO
"Mesa County Search and Rescue, Inc",Mesa,Sheriff's Office,970-244-3500,Grand Junction,CO
Mineral County SAR,Mineral,Sheriff's Office,719-658-2600,Creede,CO
Moffatt County Search and Rescue,Moffat,Sheriff's Office,970-824-4495,Craig,CO
Mountain Rescue Aspen,Pitkin,SAR,970-920-5310,Aspen,CO
Mounted Search and Rescue,Archuleta,Sheriff's Office,970-264-8430,Pagosa Springs,CO
Ouray Mountain Rescue,Ouray,Sheriff's Office,970-325-7272,Ouray,CO
Park County SAR,Park,Sheriff's Office,719-836-2494,Fairplay,CO
Pueblo Emergeny Resonse Team,Pueblo,Sheriff's Office,719-583-6125,Pueblo,CO
Rampart Search and Rescue,Morgan,SAR,303-227-1574,Denver,CO
Rio Blanco County SAR,Rio Blanco,Sheriff's Office,970-878-9625,Rangely,CO
Rio Grande County SAR,Rio Grande,SAR,719-657-4000,Del Norte,CO
Rocky Mountain Rescue Group,Boulder,SAR,303-449-4141,Boulder,CO
Routt County SAR,Routt,Sheriff's Office,970-879-1090,Steamboat Springs,CO
San Juan County SAR,San Juan,Sheriff's Office,970-387-5531,Silverton,CO
San Miguel County SAR,San Miguel,Sheriff's Office,970-728-1911,Telluride,CO
Search and Rescue Dogs of Colorado ,Larimer,SAR,970-293-8059,Fort Collins,CO
Summit County Rescue Group,Summit,Sheriff's Office,970-453-2232,Breckenridge,CO
Teller County SAR,Teller,Sheriff's Office,719-687-9652,Woodland Park,CO
United SAR,Montezuma,Sheriff's Office,970-565-8452,Cortez,CO
Upper San Juan Search and Rescue,San Juan,Sheriff's Office,970-387-5531,Pagosa Springs,CO
Vail Mountain Rescue Group,Eagle,SAR,970-479-2200,Vail,CO
Western State College Mountain Rescue,Gunnison,Sheriff's Office,970-641-1113,Gunnison,CO
